survey_id,customer_age,customer_gender,collected_at,hour,day_of_week,is_weekend,purchase_value,visit_duration_minutes,overall_score,nps_score,would_recommend,temperature_c,is_rainy
SRV_000000,56,male,2024-08-10 11:35:39.169785,11,5,1,38.72765187781647,56.408247473001936,3.9545923633699323,8,1,19.5533291320379,0
SRV_000001,46,male,2024-08-10 12:35:39.169785,12,5,1,38.60065014531845,66.31154479727428,3.1949787592261187,9,1,22.47495663645872,0
SRV_000002,32,female,2024-08-10 13:35:39.169785,13,5,1,16.418079625506724,46.6611879823774,3.174653482303697,7,1,21.77964395662702,1
SRV_000003,60,male,2024-08-10 14:35:39.169785,14,5,1,39.26627933819095,41.59883468817106,4.490366396226353,7,1,19.585365021462167,0
SRV_000004,25,male,2024-08-10 15:35:39.169785,15,5,1,16.33882584391893,29.011020159962307,3.20902266740573,8,1,18.81030985514977,0
SRV_000005,38,male,2024-08-10 16:35:39.169785,16,5,1,26.64443849261462,33.45240653542505,3.493060057488751,8,1,25.438149811471696,0
SRV_000006,56,female,2024-08-10 17:35:39.169785,17,5,1,35.97409890461463,57.00675210138688,4.039022675210149,9,1,18.717100860774003,0
SRV_000007,36,male,2024-08-10 18:35:39.169785,18,5,1,55.32629461228757,85.86334590836823,4.407576872112191,8,1,21.16505772905324,0
SRV_000008,40,female,2024-08-10 19:35:39.169785,19,5,1,88.48206496285246,111.46573608821285,4.829168792378137,8,1,27.071012061484467,0
SRV_000009,28,female,2024-08-10 20:35:39.169785,20,5,1,21.903699970765096,45.887538686888895,2.784267095615661,7,1,21.095200371387143,0
SRV_000010,28,female,2024-08-10 21:35:39.169785,21,5,1,15.242201042935337,31.2264889400886,2.9922044455008874,9,1,13.516332820917825,0
SRV_000011,41,female,2024-08-10 22:35:39.169785,22,5,1,67.38589852507056,93.93025888759591,4.874091187384111,9,1,24.476294298486803,0
SRV_000012,53,male,2024-08-10 23:35:39.169785,23,5,1,55.67337393232032,77.6266366423821,3.7365146988212,8,1,19.343405329830638,0
SRV_000013,57,male,2024-08-11 00:35:39.169785,0,6,1,30.160248236719852,62.52570873279801,3.7240831579807687,7,1,24.20385652446614,0
SRV_000014,41,female,2024-08-11 01:35:39.169785,1,6,1,32.709278020465405,54.44681382228225,3.895588002375913,8,1,16.69605541066499,0
SRV_000015,20,male,2024-08-11 02:35:39.169785,2,6,1,17.01038611681043,22.306717046457926,4.077521837187926,9,1,17.590059916329565,0
SRV_000016,39,male,2024-08-11 03:35:39.169785,3,6,1,66.4318836305727,74.15785350538954,3.544124985025931,8,1,20.3369253215505,1
SRV_000017,19,male,2024-08-11 04:35:39.169785,4,6,1,32.38850816108369,41.180028843247676,3.614657636677154,8,1,17.198013929674712,0
SRV_000018,41,female,2024-08-11 05:35:39.169785,5,6,1,24.144075253994078,38.47642349273765,3.344134100262941,8,1,18.104915712872064,0
SRV_000019,61,male,2024-08-11 06:35:39.169785,6,6,1,43.53822582370866,78.64798389265604,4.983442190026304,9,1,27.244648113295916,0
